epoch,lr,step,test_acc,test_acc_top5,test_loss,train_acc_epoch,train_acc_step,train_acc_top5_epoch,train_acc_top5_step,train_loss_epoch,train_loss_step,val_acc,val_acc_top5,val_loss
23,0.09621065855026245,949,,,,,0.5833333134651184,,0.7916666865348816,,2.9369447231292725,,,
23,,959,0.4051356911659241,0.6210492849349976,3.7453012466430664,,,,,,,0.6700000166893005,0.9200000166893005,2.457489252090454
23,,983,,,,0.5884146094322205,,0.8506097793579102,,2.7928059101104736,,,,
24,,989,0.4079379141330719,0.6242650747299194,3.708683490753174,,,,,,,0.6949999928474426,0.9300000071525574,2.3905932903289795
24,0.09533381462097168,999,,,,,0.4583333432674408,,0.75,,3.462350368499756,,,
24,,1019,0.41221025586128235,0.6278023719787598,3.6739284992218018,,,,,,,0.699999988079071,0.9300000071525574,2.330754041671753
24,,1024,,,,0.5985772609710693,,0.8572154641151428,,2.7197821140289307,,,,
25,0.09437067061662674,1049,,,,,0.5416666865348816,,0.7916666865348816,,3.2282681465148926,,,
25,,1049,0.41560983657836914,0.6321668028831482,3.639341115951538,,,,,,,0.7049999833106995,0.9350000023841858,2.269563674926758
25,,1065,,,,0.6067073345184326,,0.8531504273414612,,2.6436781883239746,,,,
26,,1079,0.41832008957862854,0.635566234588623,3.6080517768859863,,,,,,,0.7200000286102295,0.9350000023841858,2.2115981578826904
26,0.09332306683063507,1099,,,,,0.6666666865348816,,0.9166666865348816,,2.7170443534851074,,,
26,,1106,,,,0.6189024448394775,,0.8678861856460571,,2.5744118690490723,,,,
27,,1109,0.42231684923171997,0.6396545767784119,3.5740857124328613,,,,,,,0.7400000095367432,0.9399999976158142,2.1570045948028564
27,,1139,0.42548680305480957,0.6440645456314087,3.543623685836792,,,,,,,0.7400000095367432,0.9399999976158142,2.1065094470977783
27,,1147,,,,0.6183943152427673,,0.8765243887901306,,2.505136489868164,,,,
28,0.09219300001859665,1149,,,,,0.6666666865348816,,0.8333333134651184,,2.3506650924682617,,,
28,,1169,0.4282892048358917,0.6479233503341675,3.515779733657837,,,,,,,0.7400000095367432,0.9449999928474426,2.0526413917541504
28,,1188,,,,0.6234756112098694,,0.877540647983551,,2.458991765975952,,,,
29,0.09098261594772339,1199,,,,,0.6666666865348816,,0.9583333134651184,,2.3690927028656006,,,
29,,1199,0.4323315918445587,0.6510469317436218,3.485962152481079,,,,,,,0.7400000095367432,0.9399999976158142,2.0017592906951904
29,,1229,0.4347206652164459,0.6545385122299194,3.457735061645508,,,,,,,0.75,0.9549999833106995,1.9512605667114258
29,,1229,,,,0.6453251838684082,,0.8871951103210449,,2.3855905532836914,,,,
30,0.08969421684741974,1249,,,,,0.75,,0.9166666865348816,,1.7924909591674805,,,
30,,1259,0.4367881417274475,0.6581676006317139,3.4306204319000244,,,,,,,0.7599999904632568,0.9599999785423279,1.9030585289001465
30,,1270,,,,0.6478658318519592,,0.8856707215309143,,2.314819812774658,,,,
31,,1289,0.4416578412055969,0.660510778427124,3.403630018234253,,,,,,,0.7649999856948853,0.9549999833106995,1.8576629161834717
31,0.08833025395870209,1299,,,,,0.75,,1.0,,2.0387630462646484,,,
31,,1311,,,,0.6549796462059021,,0.8943089246749878,,2.282650947570801,,,,
32,,1319,0.44482749700546265,0.6634507775306702,3.377199411392212,,,,,,,0.7599999904632568,0.9649999737739563,1.8093641996383667
32,0.08689332753419876,1349,,,,,0.6666666865348816,,0.9166666865348816,,2.313957691192627,,,
32,,1349,0.4469863772392273,0.6665745377540588,3.3524794578552246,,,,,,,0.7649999856948853,0.9649999737739563,1.7658783197402954
32,,1352,,,,0.6641260385513306,,0.9059959053993225,,2.2176337242126465,,,,
33,,1379,0.4513966143131256,0.6693770885467529,3.325890064239502,,,,,,,0.7699999809265137,0.9649999737739563,1.7229478359222412
33,,1393,,,,0.6753048896789551,,0.9100610017776489,,2.1727135181427,,,,
34,0.08538617938756943,1399,,,,,0.6666666865348816,,0.9166666865348816,,2.2366108894348145,,,
34,,1409,0.4525909125804901,0.6727765202522278,3.3028154373168945,,,,,,,0.7749999761581421,0.9649999737739563,1.6794612407684326
34,,1434,,,,0.6966463327407837,,0.9100610017776489,,2.1105477809906006,,,,
35,,1439,0.45686325430870056,0.6750736832618713,3.2786455154418945,,,,,,,0.7799999713897705,0.9649999737739563,1.639092206954956
35,0.0838116705417633,1449,,,,,0.875,,0.875,,1.4278587102890015,,,
35,,1469,0.4609057605266571,0.6779675483703613,3.2543928623199463,,,,,,,0.7850000262260437,0.9649999737739563,1.5979877710342407
35,,1475,,,,0.7002032399177551,,0.920223593711853,,2.041135549545288,,,,
36,0.08217279613018036,1499,,,,,0.75,,0.875,,2.232907772064209,,,
36,,1499,0.46274328231811523,0.6798514127731323,3.2317323684692383,,,,,,,0.7900000214576721,0.9750000238418579,1.5591751337051392
